Cell_Index_Global	Cage_ID	Cell_Type	Tile_ID	Cell_Index_Local	Median_intensity_FITC	Median_intensity_TRITC	Median_intensity_Cy5
1		Undetermined	1	1	876.5	4743.3	12024.4
2	0_0	Undetermined	1	2	45376.0	7701.0	10081.0
3	0_0	Undetermined	1	3	833.0	5319.0	18894.0
4	0_0	Undetermined	1	4	613.0	1932.4	5785.0
5	0_0	Undetermined	1	5	663.5	3290.8	15890.1
6		Undetermined	1	6	723.0	2589.0	16736.5
7	1_1	M_B3Z	1	7	41029.5	1291.7	4921.5
8		M_B3Z	1	8	4038.0	1125.5	3987.5
9	0_2	Undetermined	1	9	417.0	1068.7	4541.9
10		Undetermined	1	10	464.0	970.9	3900.0
11		Undetermined	1	11	388.5	880.3	3468.0
14		H_Ramos	2	1	305.0	798.0	10426.0
15		M_B3Z	2	2	39510.0	743.0	3501.2
16	1_3	M_B3Z	2	3	41294.5	1061.0	5064.0
17	0_3	H_Ramos	2	4	430.0	855.0	17554.3
18	0_4	H_Ramos	2	5	663.0	1210.0	15145.0
20	1_4	M_B3Z	2	7	65432.0	1246.0	5287.6
21	0_5	M_B3Z	2	8	3495.5	1229.0	6192.3
22	0_5	Undetermined	2	9	638.0	1116.0	7250.1
23		H_Ramos	2	10	742.0	1031.9	19475.4
24	0_5	Undetermined	2	11	969.0	1601.7	7608.7
25	1_5	M_B3Z	2	12	5221.0	1186.0	4956.7
31		M_B3Z	3	5	44732.5	919.9	4602.9
32		Undetermined	3	6	327.5	951.6	5400.3
33	1_6	H_Ramos	3	7	521.0	715.1	13055.9
34	1_6	H_Ramos	3	8	526.0	716.7	30014.4
35	1_6	M_B3Z	3	9	48560.0	954.4	5299.7
36	1_6	M_B3Z	3	10	49165.5	903.5	4956.5
37	0_7	Undetermined	3	11	394.0	669.5	5635.5
39		M_B3Z	3	13	6863.5	633.0	3294.0
40		H_Ramos	3	14	436.0	1297.1	16660.6
41		Undetermined	3	15	412.5	759.5	5138.0
42	1_8	M_B3Z	3	16	58102.5	922.0	4285.5
43	1_8	H_Ramos	3	17	405.0	672.0	15751.0
46		M_B3Z	4	3	2515.0	901.1	4919.1
48	1_9	H_Ramos	4	5	490.5	1056.7	11632.5
49	0_9	H_Ramos	4	6	416.0	873.7	22079.7
51	1_9	M_B3Z	4	8	44656.0	1046.3	4655.0
52	0_9	M_B3Z	4	9	2369.0	1390.7	6363.8
53		Undetermined	4	10	353.5	768.0	4618.7
54	0_10	H_Ramos	4	11	392.0	1032.9	16833.1
55	1_10	M_B3Z	4	12	6079.5	1184.0	5597.1
56	0_10	Undetermined	4	13	337.0	802.0	4733.0
57		M_B3Z	5	1	27103.5	1549.1	6648.0
58	0_11	M_B3Z	5	2	48039.5	1743.2	6196.6
59		H_Ramos	5	3	537.0	1538.2	9074.1
60	0_12	Undetermined	5	4	33269.5	2020.0	6575.0
61	1_12	Undetermined	5	5	776.5	1814.0	5279.4
62	1_12	M_B3Z	5	6	44199.0	2030.5	5524.5
63	1_12	H_Ramos	5	7	839.0	1589.9	28590.4
64	0_12	M_B3Z	5	8	38066.5	1850.7	5729.7
65	0_12	H_Ramos	5	9	848.0	1899.0	12448.2
66	0_13	M_B3Z	5	10	44124.5	1941.3	5627.0
67	1_13	Undetermined	5	11	65433.0	1938.3	5132.0
68	0_13	Undetermined	5	12	802.0	1927.1	23989.6
69	1_13	M_B3Z	5	13	65435.0	1848.5	4995.5
73	0_13	H_Ramos	6	2	873.5	1677.4	19200.9
74		Undetermined	6	3	773.0	1758.6	6176.3
75		M_B3Z	6	4	45197.5	1732.1	4548.2
76	1_14	M_B3Z	6	5	53835.0	1783.2	4658.4
77	1_14	H_Ramos	6	6	923.5	1693.5	17393.0
78	1_14	M_B3Z	6	7	62241.0	1937.0	5581.7
79	1_14	H_Ramos	6	8	1013.5	1716.0	20486.9
80	0_14	M_B3Z	6	9	29464.0	2046.1	6345.1
81		H_Ramos	6	10	845.0	2020.1	14204.4
82	0_15	M_B3Z	6	11	60891.5	1890.0	6492.9
83	1_15	H_Ramos	6	12	866.0	1497.5	17872.4
84	0_15	H_Ramos	6	13	845.0	1684.9	18993.2
85	0_15	M_B3Z	6	14	9807.0	1776.5	6180.5
86	0_15	M_B3Z	6	15	65432.0	1955.0	5514.0
