	UMAP1_sc	UMAP2_sc	Clusters_sc	Cell_type_img	UMAP1_CP_sc	UMAP2_CP_sc	Clusters_CP_sc	UMAP1_bimodal_sc	UMAP2_bimodal_sc	Clusters_bimodal_sc
0_2	3.2750032	6.452794	0	Undetermined_cells	17.367847	3.900283	0	-2.0207143	-0.42579335	0
0_11	5.1139936	-1.5433767	1	Mouse	14.474529	1.7557521	0	-3.9712775	3.2676358	2
0_14	2.663741	0.4715139	0	Mouse	15.0021105	-0.18727891	0	-2.8892288	1.1756006	2
0_18	-3.145995	1.6094271	0	Human	12.201634	5.2780094	0	2.5205307	2.4037685	3
0_20	3.1669145	5.300844	0	Mouse	9.952094	2.249245	0	-0.5504319	0.36679447	4
0_21	4.715407	-1.2424312	1	Mouse	10.114077	2.34435	0	-3.6897354	-3.2891173	1
0_22	5.631709	-0.45207468	1	Mouse	7.8024154	-2.7086112	1	0.14658505	0.14084612	4
0_25	7.1953654	8.328022	2	Mouse	7.194355	-5.639582	1	1.0228813	0.4359817	4
0_40	7.207195	5.945316	1	Mouse	6.3071504	-4.574409	1	-3.0727916	0.78907406	0
0_41	-2.668146	3.885591	0	Undetermined_cells	10.615457	0.8122649	0	-4.346582	2.48289	2
0_57	5.272571	1.7382522	1	Mouse	7.0684795	1.140949	1	0.33493268	-1.4804585	0
0_86	9.117524	7.3360977	2	Mouse	10.330811	3.2217603	0	-1.4711556	-0.6098629	0
0_87	3.0716884	0.80786306	0	Mouse	7.7289476	-3.931867	1	1.9406427	-3.3378868	5
0_96	11.221653	1.0052108	1	Mouse	9.8732395	2.0340555	0	0.034640305	1.5971453	4
0_101	7.3146477	2.0857472	1	Mouse	14.607134	2.8975966	0	-5.7656507	-1.7144934	6
0_102	1.9658307	0.10262799	0	Mouse	14.53892	0.87599754	0	-4.333237	-2.024272	6
0_110	12.144166	2.362429	1	Mouse	15.119279	0.11125269	0	0.87491345	0.91032356	4
1_1	6.8600497	-0.7529511	1	Mouse	12.59849	3.8012218	0	0.9238105	-2.3346453	1
1_3	5.357193	3.6170042	1	Mouse	9.328589	3.3314207	0	-4.9363985	-2.555273	6
1_4	4.359086	-1.1813824	1	Mouse	7.6004925	-5.14297	1	-1.1995863	-1.1658514	0
1_16	6.190915	5.587001	1	Mouse	11.418999	2.4336681	0	-0.6284137	1.3865807	4
1_19	14.506439	8.390682	2	Mouse						
1_35	-3.6432772	3.60175	0	Human	7.911326	-1.4902986	1	2.127138	2.231048	3
1_38	12.37389	1.6181436	1	Mouse	12.162035	-1.9186738	0	-3.4919147	-1.2525785	0
1_41	1.3952993	2.0082371	0	Human	9.134429	4.274825	0	10.093442	2.0038702	7
1_43	-3.2629757	3.9069583	0	Human	8.057224	5.648841	2	3.2875009	2.9243877	3
1_50	12.056599	9.226771	2	Mouse	9.028247	3.3853283	0	-2.8568218	0.42699075	6
1_56	8.647338	5.2284884	1	Mouse	10.197268	2.686177	0	-2.950992	1.7851722	4
1_72	5.7543917	8.391338	2	Mouse	11.756133	1.1576765	0	2.8402128	-3.7025743	5
1_73	12.60119	8.99034	2	Mouse	6.203659	0.25345215	1	1.7954944	-3.7651293	5
