Cage_ID	Cell_Count_Cage
1_1	0
1_0	1
2_0	0
2_1	0
1_4	0
1_2	0
1_3	0
2_4	0
2_3	2
2_2	0
1_5	0
1_6	0
1_7	3
2_5	0
2_7	0
2_6	0
1_9	0
1_8	0
1_10	0
2_8	0
2_10	0
2_9	1
1_12	0
1_11	0
2_11	1
2_12	1
1_13	0
1_14	0
1_15	0
2_14	0
2_15	3
2_13	1
1_16	1
1_17	0
1_18	1
2_16	0
2_17	0
2_18	0
1_19	0
1_20	0
2_20	0
1_23	1
1_22	0
1_21	0
2_21	0
2_23	0
2_22	1
1_24	0
1_26	1
1_25	0
2_25	2
2_24	2
2_26	4
1_28	0
1_27	1
2_28	0
2_27	0
2_29	0
1_31	0
1_30	0
1_29	1
2_30	0
2_31	1
1_32	0
1_33	0
1_34	0
2_33	1
2_32	1
2_34	0
1_36	0
1_37	0
1_35	0
2_37	1
2_35	2
2_36	3
1_38	0
1_40	0
1_39	0
2_38	0
2_39	2
1_42	0
1_41	0
2_41	4
2_42	1
2_40	1
1_45	0
1_43	0
1_44	0
2_44	2
2_45	0
2_43	2
3_44	2
1_47	0
1_48	0
1_46	0
2_46	2
2_47	1
2_48	2
3_47	2
1_49	0
1_50	0
2_49	0
2_50	3
3_49	1
3_48	2
1_51	0
1_52	0
1_53	0
2_51	0
2_52	0
2_53	0
1_54	0
1_56	0
1_55	1
2_54	1
2_56	0
2_55	2
1_58	0
2_58	1
2_57	1
1_61	0
1_59	0
1_60	0
2_59	0
2_60	1
2_61	0
1_62	0
1_63	0
2_62	1
2_63	0
2_64	0
1_65	0
1_66	0
2_65	0
2_66	0
1_68	0
1_67	0
2_68	2
2_69	0
1_71	1
2_70	2
2_71	0
2_72	0
1_74	0
2_73	1
2_75	1
2_74	0
1_77	0
1_78	0
2_77	3
2_76	2
2_78	0
1_79	0
1_80	0
2_79	2
2_80	1
3_79	2
3_78	0
3_80	0
1_82	0
1_81	0
1_83	0
2_83	1
2_82	0
2_81	1
3_82	1
1_84	0
1_86	1
1_85	1
2_84	0
2_85	1
2_86	3
3_85	1
3_83	1
1_87	2
1_88	0
2_88	1
2_87	1
3_86	0
3_87	0
3_88	0
1_89	0
1_91	1
1_90	0
2_89	1
2_90	0
2_91	1
3_90	0
3_91	1
3_89	2
1_92	0
1_93	0
3_92	2
3_93	2
1_94	1
1_96	0
2_99	0
2_97	0
3_102	1
3_101	0
3_100	0
1_105	1
1_103	0
1_104	0
2_103	0
2_104	0
3_104	2
3_103	0
1_106	0
1_107	0
2_107	0
2_105	0
3_106	0
3_105	1
3_107	1
1_110	3
2_110	0
2_109	1
2_108	0
3_108	1
3_109	0
3_110	0
1_111	0
2_112	0
2_111	0
3_111	1
3_112	1
3_1	0
3_0	0
4_0	0
4_1	0
3_3	0
3_4	0
4_2	0
4_4	0
4_3	0
3_5	0
3_7	0
3_6	0
4_5	0
4_7	0
3_9	0
3_8	0
3_10	1
4_9	0
4_10	0
4_8	0
3_11	0
3_12	0
4_12	1
4_11	1
3_14	0
3_15	0
3_13	2
4_14	0
4_13	1
4_15	0
3_16	0
3_17	0
3_18	0
4_18	0
4_17	1
4_16	0
2_19	0
3_20	0
3_19	2
4_19	0
4_20	0
3_23	3
3_22	2
3_21	1
4_21	0
4_22	0
4_23	0
3_24	1
3_26	2
3_25	2
4_24	2
4_25	1
4_26	1
3_28	0
3_27	0
3_29	0
4_27	1
4_28	2
4_29	1
3_31	1
3_30	2
4_31	2
4_30	2
3_32	1
3_34	1
3_33	1
4_34	2
4_33	0
4_32	3
3_37	0
3_35	0
3_36	1
4_36	0
4_35	1
3_39	0
3_38	0
4_39	2
4_38	0
4_37	2
3_40	0
3_42	0
3_41	0
4_41	0
4_40	0
4_42	4
3_45	3
3_43	1
4_45	1
4_44	0
4_43	1
3_46	1
4_47	0
4_46	1
4_48	1
