	Variable1	Variable2	Correlation	Variable1_type	Variable2_type	P-value
1	ATP5IF1	RPL11	0.440388939410484	Genes	Genes	1.00242390646898e-96
3	ATP5IF1	RPS8	0.471870159597011	Genes	Genes	8.09845488908228e-113
5	ATP5IF1	RPS27	0.425900532573691	Genes	Genes	7.11879117484462e-90
7	ATP5IF1	NDUFS5	0.309290552962867	Genes	Genes	8.8594435146459e-46
10	ATP5IF1	RPL5	0.320419619495593	Genes	Genes	3.21387918152723e-49
11	ATP5IF1	SRM	0.322729889599568	Genes	Genes	5.95729544059632e-50
15	ATP5IF1	MTATP6P1	0.433292959837218	Genes	Genes	2.5071796554651297e-93
17	ATP5IF1	RPS7	0.326835599519878	Genes	Genes	2.85823680773335e-51
18	ATP5IF1	TMSB10	0.357910763357334	Genes	Genes	6.1083011833191895e-62
19	ATP5IF1	RPL31	0.367526662693994	Genes	Genes	1.70197194951829e-65
25	ATP5IF1	ATP5MC3	0.339482566519191	Genes	Genes	1.825731671207e-55
26	ATP5IF1	RPS27A	0.439597273802286	Genes	Genes	2.42198363161007e-96
30	ATP5IF1	CCT7	0.302111185628369	Genes	Genes	1.2291911994914298e-43
31	ATP5IF1	EEF1B2	0.381811227732443	Genes	Genes	5.19494036449044e-71
32	ATP5IF1	RPL37A	0.5064170770570551	Genes	Genes	1.45925372142783e-132
34	ATP5IF1	RPL15	0.367546820887905	Genes	Genes	1.67247694845406e-65
35	ATP5IF1	RPL29	0.321600667533827	Genes	Genes	1.36184497999419e-49
36	ATP5IF1	RPL32	0.335661344998737	Genes	Genes	3.54625727088031e-54
37	ATP5IF1	TMA7	0.326263997287454	Genes	Genes	4.37975592624881e-51
38	ATP5IF1	RPL35A	0.400960392280624	Genes	Genes	7.430938966317141e-79
39	ATP5IF1	RPL14	0.371630183443561	Genes	Genes	4.7455596253519095e-67
40	ATP5IF1	RPSA	0.360197945083973	Genes	Genes	8.94248625556406e-63
41	ATP5IF1	RPL24	0.313004099216757	Genes	Genes	6.5369267233038405e-47
44	ATP5IF1	RPL34	0.387164230432086	Genes	Genes	3.7632430970257104e-73
47	ATP5IF1	COX7C	0.349562056722617	Genes	Genes	5.95203241865932e-59
49	ATP5IF1	NDUFS6	0.326244103308612	Genes	Genes	4.44496758829412e-51
52	ATP5IF1	RPS14	0.384708169599581	Genes	Genes	3.64801872384259e-72
53	ATP5IF1	RPS23	0.459917089829776	Genes	Genes	1.65645190700989e-106
54	ATP5IF1	RACK1	0.353720295424932	Genes	Genes	1.9871693300886302e-60
58	ATP5IF1	CD74	0.384582088145509	Genes	Genes	4.0979826011194296e-72
59	ATP5IF1	RPL37	0.434474986846278	Genes	Genes	6.892869040783439e-94
61	ATP5IF1	HSP90AB1	0.32371722596756	Genes	Genes	2.88219716418828e-50
62	ATP5IF1	RPS12	0.341036825821321	Genes	Genes	5.39127347448109e-56
64	ATP5IF1	TUBB	0.320188838659647	Genes	Genes	3.79919660835736e-49
65	ATP5IF1	RPL10A	0.348240261235452	Genes	Genes	1.73449693827744e-58
66	ATP5IF1	RPS18	0.418692438016778	Genes	Genes	1.3646665043652201e-86
68	ATP5IF1	HLA-C	0.379901060368775	Genes	Genes	2.94993736879636e-70
69	ATP5IF1	HLA-B	0.455752916115074	Genes	Genes	2.2923902455481897e-104
70	ATP5IF1	RPS10	0.308978793085986	Genes	Genes	1.10061633342463e-45
73	ATP5IF1	CHCHD2	0.33240125906187	Genes	Genes	4.31299166982253e-53
74	ATP5IF1	NDUFB2	0.327112112364123	Genes	Genes	2.32556121070636e-51
75	ATP5IF1	ATP5MF	0.353584551537189	Genes	Genes	2.2222951374018494e-60
76	ATP5IF1	ACTB	0.417679434070738	Genes	Genes	3.8844881497145614e-86
