	H_UMIs_cage	M_UMIs_cage	Cell_type_img
1_18	190	5	Human
2_12	80	322	Mouse
2_22	555	6	Human
2_31	145	22	Human
2_32	90	10	Mouse
2_33	94	10	Mouse
2_37	59	14	Human
2_54	143	6	Human
2_57	19	170	Mouse
2_60	196	2	Human
2_62	210	6	Human
2_75	32	5	Undetermined_cells
2_80	252	7	Human
2_81	196	47	Mouse
2_85	370	28	Human
2_89	49	248	Mouse
2_91	336	10	Human
2_109	15	120	Undetermined_cells
3_10	109	9	Human
3_31	28	7	Human
3_32	64	12	Mouse
3_33	350	6	Human
3_34	34	4	Human
3_43	168	7	Human
3_49	311	19	Human
3_51	30	2	Mouse
3_57	191	2	Human
3_58	16	4	Mouse
3_59	580	9	Human
3_60	37	0	Mouse
3_62	328	5	Human
3_63	97	5	Mouse
3_65	521	10	Human
3_70	33	148	Undetermined_cells
3_72	215	8	Human
3_82	150	6	Human
3_85	596	7	Human
3_91	120	2	Human
3_98	591	11	Human
3_102	236	7	Human
3_107	24	5	Mouse
3_111	129	9	Mouse
3_112	117	4	Undetermined_cells
4_11	397	14	Mouse
4_25	112	8	Human
4_26	244	4	Undetermined_cells
4_27	75	4	Human
4_35	36	9	Human
4_43	57	7	Human
4_45	169	9	Undetermined_cells
4_46	38	7	Mouse
4_48	18	3	Mouse
4_49	28	3	Human
4_57	17	4	Mouse
4_66	255	5	Human
4_69	75	8	Human
4_74	398	12	Human
4_76	334	9	Undetermined_cells
4_79	28	5	Human
4_80	128	7	Human
4_81	34	7	Mouse
4_98	348	3	Human
4_100	141	7	Human
4_104	226	6	Human
4_108	677	13	Human
5_22	16	1	Human
5_32	30	6	Mouse
5_49	17	3	Mouse
5_67	142	7	Human
5_72	58	3	Mouse
5_76	351	8	Undetermined_cells
5_79	16	4	Undetermined_cells
5_87	352	8	Human
5_88	16	3	Human
5_102	20	4	Mouse
5_109	18	135	Mouse
6_5	185	43	Human
6_6	23	180	Mouse
6_10	172	5	Undetermined_cells
6_18	51	1	Human
6_20	61	1	Undetermined_cells
6_21	42	1	Undetermined_cells
6_23	200	7	Human
6_34	88	21	Undetermined_cells
6_38	18	3	Undetermined_cells
6_45	239	43	Human
6_49	83	13	Human
6_53	171	22	Human
6_65	42	6	Undetermined_cells
6_79	307	25	Undetermined_cells
6_86	253	9	Undetermined_cells
6_102	129	11	Undetermined_cells
7_2	269	10	Human
7_4	101	6	Human
7_8	156	12	Human
7_9	349	3	Human
7_19	10	108	Mouse
7_35	245	6	Human
7_37	22	348	Mouse
7_40	173	4	Human
7_45	10	97	Mouse
